Wi1,Wi2,Wi3,Wi5,DC Gain,ft,f3,Vcm,Pdiss,Is4,Gm6,Gm4,Wi4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Abs_Gain,Delay
0.0001,5.10E-05,1.10E-05,1.30E-05,29.7076,1.71E+07,559360,0.8,7.64E-05,9.74E-06,9.24E-04,0.000364868,1.29E-04,2.00E+02,1.02E+02,2.20E+01,2.58E+02,2.60E+01,30.57595285,0.00347656
7.10E-05,6.10E-05,2.10E-05,2.06E-05,29.7401,3.09E+07,1.08E+06,1.6,8.30E-05,1.16E-05,1.67E-03,0.000436062,2.33E-04,1.42E+02,1.22E+02,4.20E+01,4.66E+02,4.12E+01,30.69057322,0.00149902
1.00E-06,4.10E-05,0.0001,6.00E-05,29.791,1.28E+07,432676,1.6,6.52E-05,1.13E-05,6.93E-04,0.000352608,8.05E-05,2.00E+00,8.20E+01,2.00E+02,1.61E+02,1.20E+02,30.8709504,0.000488281
6.10E-05,4.10E-05,9.10E-05,5.65E-05,29.8319,3.16E+07,1.21E+06,1.6,7.00E-05,1.20E-05,1.71E-03,0.000362908,1.93E-04,1.22E+02,8.20E+01,1.82E+02,3.86E+02,1.13E+02,31.0166579,0.000488281
6.10E-05,3.10E-05,6.10E-05,5.63E-05,29.8679,3.61E+07,1.42E+06,1.6,8.23E-05,1.19E-05,1.95E-03,0.000314342,1.93E-04,1.22E+02,6.20E+01,1.22E+02,3.86E+02,1.13E+02,31.14547796,0.000488281
9.10E-05,0.0001,3.10E-05,1.88E-05,29.8687,2.77E+07,967431,1.6,6.80E-05,1.18E-05,1.50E-03,0.000561611,2.67E-04,1.82E+02,2.00E+02,6.20E+01,5.34E+02,3.76E+01,31.1483467,0.00350586
3.10E-05,2.10E-05,9.10E-05,6.91E-05,29.8844,1.71E+07,520485,0.8,6.23E-05,9.83E-06,9.26E-04,0.000235223,8.26E-05,6.20E+01,4.20E+01,1.82E+02,1.65E+02,1.38E+02,31.20469916,0.000488281
3.10E-05,8.10E-05,2.10E-05,1.57E-05,30.0029,1.72E+07,544520,0.8,6.10E-05,9.68E-06,9.27E-04,0.000458512,1.64E-04,6.20E+01,1.62E+02,4.20E+01,3.28E+02,3.14E+01,31.63333641,0.000478516
1.00E-06,9.10E-05,4.10E-05,2.74E-05,30.005,1.14E+07,365990,0.8,5.49E-05,9.15E-06,6.14E-04,0.000472476,1.18E-04,2.00E+00,1.82E+02,8.20E+01,2.36E+02,5.48E+01,31.64098538,0.00450684
4.10E-05,2.10E-05,9.10E-05,6.89E-05,30.0086,1.76E+07,524327,0.8,6.24E-05,9.86E-06,9.49E-04,0.00023562,8.46E-05,8.20E+01,4.20E+01,1.82E+02,1.69E+02,1.38E+02,31.65410218,0.000488281
1.00E-06,3.10E-05,0.0001,7.37E-05,30.0892,1.11E+07,350624,0.8,5.77E-05,9.22E-06,5.99E-04,0.000276798,6.71E-05,2.00E+00,6.20E+01,2.00E+02,1.34E+02,1.47E+02,31.94920088,0.000488281
4.10E-05,4.10E-05,0.0001,5.68E-05,30.0967,2.93E+07,1.00E+06,1.6,6.75E-05,1.20E-05,1.58E-03,0.000362523,1.79E-04,8.20E+01,8.20E+01,2.00E+02,3.58E+02,1.14E+02,31.97679995,0.000488281
5.10E-05,2.10E-05,9.10E-05,6.87E-05,30.1015,1.79E+07,526598,0.8,6.25E-05,9.89E-06,9.65E-04,0.000235923,8.59E-05,1.02E+02,4.20E+01,1.82E+02,1.72E+02,1.37E+02,31.99447587,0.000488281
4.10E-05,7.10E-05,2.10E-05,1.78E-05,30.1055,2.62E+07,855307,1.6,7.70E-05,1.16E-05,1.42E-03,0.000469317,2.14E-04,8.20E+01,1.42E+02,4.20E+01,4.28E+02,3.56E+01,32.00921326,0.00450684
1.10E-05,4.10E-05,1.10E-05,1.61E-05,30.1307,1.63E+07,509339,0.8,8.43E-05,9.52E-06,8.81E-04,0.000323362,1.12E-04,2.20E+01,8.20E+01,2.20E+01,2.24E+02,3.22E+01,32.10221507,0.00144043
1.00E-06,0.0001,4.10E-05,2.48E-05,30.1633,1.33E+07,430338,1.6,6.44E-05,1.11E-05,7.20E-04,0.000546615,1.32E-04,2.00E+00,2.00E+02,8.20E+01,2.64E+02,4.96E+01,32.22292793,0.000498047
1.00E-06,5.10E-05,2.10E-05,2.46E-05,30.1761,1.39E+07,433203,1.6,8.60E-05,1.10E-05,7.49E-04,0.000387821,9.85E-05,2.00E+00,1.02E+02,4.20E+01,1.97E+02,4.92E+01,32.2704484,0.000512695
6.10E-05,2.10E-05,9.10E-05,6.86E-05,30.1763,1.81E+07,527943,0.8,6.26E-05,9.91E-06,9.76E-04,0.000236166,8.68E-05,1.22E+02,4.20E+01,1.82E+02,1.74E+02,1.37E+02,32.27119146,0.000488281
4.10E-05,8.10E-05,2.10E-05,1.57E-05,30.21,1.77E+07,546924,0.8,6.12E-05,9.71E-06,9.54E-04,0.000459219,1.68E-04,8.20E+01,1.62E+02,4.20E+01,3.36E+02,3.14E+01,32.39664224,0.000478516
8.10E-05,0.0001,3.10E-05,1.88E-05,30.2116,2.76E+07,925052,1.6,6.80E-05,1.18E-05,1.49E-03,0.000561327,2.66E-04,1.62E+02,2.00E+02,6.20E+01,5.32E+02,3.76E+01,32.40261048,0.00451172
7.10E-05,2.10E-05,9.10E-05,6.85E-05,30.2255,1.82E+07,528867,0.8,6.26E-05,9.93E-06,9.84E-04,0.00023637,8.74E-05,1.42E+02,4.20E+01,1.82E+02,1.75E+02,1.37E+02,32.45450578,0.000488281
1.10E-05,1.10E-05,2.10E-05,5.66E-05,30.2692,3.45E+07,1.13E+06,1.6,0.000151928,1.14E-05,1.86E-03,0.000183471,1.12E-04,2.20E+01,2.20E+01,4.20E+01,2.24E+02,1.13E+02,32.61820065,0.000488281
8.10E-05,2.10E-05,9.10E-05,6.84E-05,30.2807,1.83E+07,529184,0.8,6.27E-05,9.94E-06,9.91E-04,0.000236544,8.80E-05,1.62E+02,4.20E+01,1.82E+02,1.76E+02,1.37E+02,32.66141531,0.000488281
9.10E-05,2.10E-05,9.10E-05,6.83E-05,30.3292,1.84E+07,529201,0.8,6.27E-05,9.95E-06,9.97E-04,0.000236696,8.84E-05,1.82E+02,4.20E+01,1.82E+02,1.77E+02,1.37E+02,32.84429922,0.000488281
5.10E-05,8.10E-05,2.10E-05,1.57E-05,30.3659,1.80E+07,548097,0.8,6.13E-05,9.74E-06,9.73E-04,0.000459758,1.71E-04,1.02E+02,1.62E+02,4.20E+01,3.42E+02,3.14E+01,32.98336798,0.000478516
0.0001,2.10E-05,9.10E-05,6.82E-05,30.3684,1.85E+07,529020,0.8,6.28E-05,9.96E-06,1.00E-03,0.000236818,8.87E-05,2.00E+02,4.20E+01,1.82E+02,1.77E+02,1.36E+02,32.99286272,0.000488281
8.10E-05,5.10E-05,2.10E-05,2.46E-05,30.3684,3.63E+07,1.23E+06,1.6,9.09E-05,1.16E-05,1.96E-03,0.000398929,2.51E-04,1.62E+02,1.02E+02,4.20E+01,5.02E+02,4.92E+01,32.99286272,0.00249023
0.0001,9.10E-05,3.10E-05,2.06E-05,30.4079,3.00E+07,1.01E+06,1.6,7.06E-05,1.18E-05,1.62E-03,0.000535954,2.75E-04,2.00E+02,1.82E+02,6.20E+01,5.50E+02,4.12E+01,33.14324292,0.00450684
6.10E-05,6.10E-05,2.10E-05,2.06E-05,30.4115,3.07E+07,992469,1.6,8.29E-05,1.16E-05,1.66E-03,0.000435775,2.32E-04,1.22E+02,1.22E+02,4.20E+01,4.64E+02,4.12E+01,33.15698249,0.00350098
3.10E-05,7.10E-05,2.10E-05,1.78E-05,30.4879,2.55E+07,794034,1.6,7.68E-05,1.15E-05,1.38E-03,0.000468711,2.09E-04,6.20E+01,1.42E+02,4.20E+01,4.18E+02,3.56E+01,33.44991357,0.0025293
6.10E-05,8.10E-05,2.10E-05,1.57E-05,30.4914,1.83E+07,548555,0.8,6.14E-05,9.76E-06,9.86E-04,0.000460191,1.74E-04,1.22E+02,1.62E+02,4.20E+01,3.48E+02,3.14E+01,33.46339501,0.000522461
1.10E-05,7.10E-05,2.10E-05,1.79E-05,30.5107,1.69E+07,506995,0.8,6.38E-05,9.56E-06,9.14E-04,0.00042661,1.52E-04,2.20E+01,1.42E+02,4.20E+01,3.04E+02,3.58E+01,33.53783317,0.000517578
7.10E-05,0.0001,3.10E-05,1.88E-05,30.5368,2.74E+07,884077,1.6,6.79E-05,1.17E-05,1.48E-03,0.000561,2.64E-04,1.42E+02,2.00E+02,6.20E+01,5.28E+02,3.76E+01,33.63876168,0.00353027
7.10E-05,8.10E-05,2.10E-05,1.57E-05,30.5966,1.84E+07,548556,0.8,6.15E-05,9.77E-06,9.97E-04,0.000460553,1.75E-04,1.42E+02,1.62E+02,4.20E+01,3.50E+02,3.14E+01,33.87115451,0.00247559
1.10E-05,7.10E-05,2.10E-05,1.78E-05,30.6474,2.25E+07,674297,1.6,7.60E-05,1.14E-05,1.21E-03,0.000466273,1.85E-04,2.20E+01,1.42E+02,4.20E+01,3.70E+02,3.56E+01,34.06983262,0.00252441
1.10E-05,0.0001,3.10E-05,1.89E-05,30.6859,1.70E+07,502979,0.8,5.56E-05,9.60E-06,9.18E-04,0.000507169,1.81E-04,2.20E+01,2.00E+02,6.20E+01,3.62E+02,3.78E+01,34.22118153,0.000488281
8.10E-05,8.10E-05,2.10E-05,1.57E-05,30.6871,1.86E+07,548244,0.8,6.16E-05,9.78E-06,1.01E-03,0.000460863,1.77E-04,1.62E+02,1.62E+02,4.20E+01,3.54E+02,3.14E+01,34.22590968,0.00347656
8.10E-05,4.10E-05,8.10E-05,5.63E-05,30.7159,3.51E+07,1.31E+06,1.6,7.32E-05,1.20E-05,1.90E-03,0.00036299,2.15E-04,1.62E+02,8.20E+01,1.62E+02,4.30E+02,1.13E+02,34.33958165,0.000488281
1.10E-05,2.10E-05,5.10E-05,5.73E-05,30.7335,2.64E+07,797247,1.6,8.91E-05,1.16E-05,1.42E-03,0.000256006,1.17E-04,2.20E+01,4.20E+01,1.02E+02,2.34E+02,1.15E+02,34.40923363,0.000488281
2.10E-05,7.10E-05,2.10E-05,1.78E-05,30.7434,2.45E+07,738401,1.6,7.65E-05,1.15E-05,1.32E-03,0.000467835,2.01E-04,4.20E+01,1.42E+02,4.20E+01,4.02E+02,3.56E+01,34.44847493,0.00154785
2.10E-05,4.10E-05,1.10E-05,1.61E-05,30.7474,1.80E+07,521184,0.8,8.49E-05,9.59E-06,9.73E-04,0.000324577,1.23E-04,4.20E+01,8.20E+01,2.20E+01,2.46E+02,3.22E+01,34.46434269,0.000493164
9.10E-05,8.10E-05,2.10E-05,1.57E-05,30.7665,1.87E+07,547706,0.8,6.17E-05,9.80E-06,1.01E-03,0.000461133,1.78E-04,1.82E+02,1.62E+02,4.20E+01,3.56E+02,3.14E+01,34.54021209,0.00347168
9.10E-05,9.10E-05,3.10E-05,2.06E-05,30.7777,2.99E+07,967615,1.6,7.05E-05,1.18E-05,1.62E-03,0.000535736,2.75E-04,1.82E+02,1.82E+02,6.20E+01,5.50E+02,4.12E+01,34.58477861,0.00450684
2.10E-05,3.10E-05,1.10E-05,2.10E-05,30.8145,2.95E+07,867253,1.6,0.000118305,1.13E-05,1.59E-03,0.000306525,1.61E-04,4.20E+01,6.20E+01,2.20E+01,3.22E+02,4.20E+01,34.73161674,0.00350098
0.0001,8.10E-05,2.10E-05,1.57E-05,30.8304,1.88E+07,547078,0.8,6.17E-05,9.80E-06,1.02E-03,0.000461351,1.79E-04,2.00E+02,1.62E+02,4.20E+01,3.58E+02,3.14E+01,34.79525311,0.0034668
3.10E-05,3.10E-05,7.10E-05,5.68E-05,30.8338,3.08E+07,985057,1.6,7.68E-05,1.19E-05,1.66E-03,0.000313795,1.64E-04,6.20E+01,6.20E+01,1.42E+02,3.28E+02,1.14E+02,34.80887601,0.000488281
6.10E-05,0.0001,3.10E-05,1.88E-05,30.8403,2.72E+07,844104,1.6,6.78E-05,1.17E-05,1.47E-03,0.000560617,2.62E-04,1.22E+02,2.00E+02,6.20E+01,5.24E+02,3.76E+01,34.83493464,0.00451172
1.10E-05,3.10E-05,8.10E-05,5.76E-05,30.8928,2.44E+07,721812,1.6,7.24E-05,1.17E-05,1.32E-03,0.000312418,1.31E-04,2.20E+01,6.20E+01,1.62E+02,2.62E+02,1.15E+02,35.04612455,0.000488281
0.0001,4.10E-05,2.10E-05,3.03E-05,30.9591,4.34E+07,1.49E+06,1.6,0.000102585,1.17E-05,2.35E-03,0.000357969,2.69E-04,2.00E+02,8.20E+01,4.20E+01,5.38E+02,6.06E+01,35.31465761,0.000488281
1.10E-05,2.10E-05,8.10E-05,6.99E-05,30.9652,1.73E+07,476530,0.8,6.50E-05,9.69E-06,9.35E-04,0.000233487,8.41E-05,2.20E+01,4.20E+01,1.62E+02,1.68E+02,1.40E+02,35.3394674,0.000488281
3.10E-05,2.10E-05,4.10E-05,5.65E-05,31.0347,3.69E+07,1.20E+06,1.6,0.000100305,1.17E-05,1.99E-03,0.000256822,1.63E-04,6.20E+01,4.20E+01,8.20E+01,3.26E+02,1.13E+02,35.62336986,0.000488281
5.10E-05,6.10E-05,2.10E-05,2.06E-05,31.0468,3.04E+07,913544,1.6,8.28E-05,1.16E-05,1.64E-03,0.000435434,2.30E-04,1.02E+02,1.22E+02,4.20E+01,4.60E+02,4.12E+01,35.67303008,0.00250977
3.10E-05,4.10E-05,1.10E-05,1.61E-05,31.0515,1.88E+07,526074,0.8,8.52E-05,9.63E-06,1.01E-03,0.000325258,1.28E-04,6.20E+01,8.20E+01,2.20E+01,2.56E+02,3.22E+01,35.69233824,0.00351074
5.10E-05,4.10E-05,9.10E-05,5.66E-05,31.0645,3.15E+07,1.05E+06,1.6,6.99E-05,1.20E-05,1.70E-03,0.000362602,1.93E-04,1.02E+02,8.20E+01,1.82E+02,3.86E+02,1.13E+02,35.74579826,0.000488281
5.10E-05,0.0001,3.10E-05,1.88E-05,31.1156,2.68E+07,804628,1.6,6.77E-05,1.17E-05,1.45E-03,0.00056016,2.59E-04,1.02E+02,2.00E+02,6.20E+01,5.18E+02,3.76E+01,35.95671435,0.000546875
2.10E-05,7.10E-05,2.10E-05,1.79E-05,31.1461,1.86E+07,518602,0.8,6.43E-05,9.64E-06,1.00E-03,0.000428315,1.66E-04,4.20E+01,1.42E+02,4.20E+01,3.32E+02,3.58E+01,36.08319622,0.000478516
8.10E-05,9.10E-05,3.10E-05,2.06E-05,31.174,2.98E+07,919890,1.6,7.04E-05,1.18E-05,1.61E-03,0.000535465,2.74E-04,1.62E+02,1.82E+02,6.20E+01,5.48E+02,4.12E+01,36.19928562,0.00151367
0.0001,1.10E-05,1.10E-05,4.72E-05,31.2104,2.63E+07,746020,1.6,0.000217319,1.14E-05,1.42E-03,0.000183361,8.52E-05,2.00E+02,2.20E+01,2.20E+01,1.70E+02,9.44E+01,36.35130446,0.000488281
1.00E-06,3.10E-05,7.10E-05,5.98E-05,31.2237,1.42E+07,403424,1.6,7.46E-05,1.13E-05,7.70E-04,0.000305756,7.81E-05,2.00E+00,6.20E+01,1.42E+02,1.56E+02,1.20E+02,36.4070089,0.000488281
3.10E-05,4.10E-05,0.0001,5.70E-05,31.2243,2.89E+07,871116,1.6,6.74E-05,1.19E-05,1.56E-03,0.000362015,1.77E-04,6.20E+01,8.20E+01,2.00E+02,3.54E+02,1.14E+02,36.4095239,0.000488281
1.10E-05,1.10E-05,4.10E-05,6.91E-05,31.2388,1.71E+07,462212,0.8,9.30E-05,9.62E-06,9.25E-04,0.000168402,6.04E-05,2.20E+01,2.20E+01,8.20E+01,1.21E+02,1.38E+02,36.47035578,0.000488281
4.10E-05,4.10E-05,1.10E-05,1.60E-05,31.2532,1.92E+07,528477,0.8,8.55E-05,9.66E-06,1.04E-03,0.000325728,1.31E-04,8.20E+01,8.20E+01,2.20E+01,2.62E+02,3.20E+01,36.53086872,0.00248047
7.10E-05,5.10E-05,2.10E-05,2.46E-05,31.2594,3.62E+07,1.11E+06,1.6,9.08E-05,1.16E-05,1.96E-03,0.000398707,2.50E-04,1.42E+02,1.02E+02,4.20E+01,5.00E+02,4.92E+01,36.55695381,0.00149902
1.10E-05,0.0001,3.10E-05,1.88E-05,31.303,2.27E+07,645981,1.6,6.67E-05,1.15E-05,1.22E-03,0.00055585,2.20E-04,2.20E+01,2.00E+02,6.20E+01,4.40E+02,3.76E+01,36.74091772,0.000551758
1.00E-06,7.10E-05,3.10E-05,2.63E-05,31.3257,1.46E+07,408319,1.6,7.37E-05,1.11E-05,7.91E-04,0.00045937,1.22E-04,2.00E+00,1.42E+02,6.20E+01,2.44E+02,5.26E+01,36.83706327,0.0025
2.10E-05,0.0001,3.10E-05,1.89E-05,31.3324,1.86E+07,514437,0.8,5.60E-05,9.68E-06,1.01E-03,0.000509258,1.97E-04,4.20E+01,2.00E+02,6.20E+01,3.94E+02,3.78E+01,36.86548909,0.00252441
4.10E-05,0.0001,3.10E-05,1.88E-05,31.3523,2.64E+07,768416,1.6,6.76E-05,1.17E-05,1.42E-03,0.000559593,2.55E-04,8.20E+01,2.00E+02,6.20E+01,5.10E+02,3.76E+01,36.95004741,0.000551758
2.10E-05,2.10E-05,8.10E-05,6.93E-05,31.3723,1.87E+07,490377,0.8,6.53E-05,9.77E-06,1.01E-03,0.000234502,9.07E-05,4.20E+01,4.20E+01,1.62E+02,1.81E+02,1.39E+02,37.03522607,0.000488281
5.10E-05,4.10E-05,1.10E-05,1.60E-05,31.4051,1.95E+07,529655,0.8,8.57E-05,9.68E-06,1.05E-03,0.000326086,1.33E-04,1.02E+02,8.20E+01,2.20E+01,2.66E+02,3.20E+01,37.17534435,0.000478516
3.10E-05,7.10E-05,2.10E-05,1.79E-05,31.4606,1.93E+07,523397,0.8,6.46E-05,9.68E-06,1.04E-03,0.000429273,1.72E-04,6.20E+01,1.42E+02,4.20E+01,3.44E+02,3.58E+01,37.41364318,0.00252441
6.10E-05,4.10E-05,1.10E-05,1.60E-05,31.5273,1.97E+07,530124,0.8,8.58E-05,9.69E-06,1.07E-03,0.000326373,1.34E-04,1.22E+02,8.20E+01,2.20E+01,2.68E+02,3.20E+01,37.70205303,0.000478516
3.10E-05,0.0001,3.10E-05,1.88E-05,31.5288,2.56E+07,733024,1.6,6.74E-05,1.17E-05,1.39E-03,0.000558848,2.48E-04,6.20E+01,2.00E+02,6.20E+01,4.96E+02,3.76E+01,37.70856451,0.000551758
7.10E-05,9.10E-05,3.10E-05,2.06E-05,31.5515,2.97E+07,873918,1.6,7.04E-05,1.17E-05,1.60E-03,0.000535153,2.72E-04,1.42E+02,1.82E+02,6.20E+01,5.44E+02,4.12E+01,37.80724225,0.00453613
3.10E-05,2.10E-05,8.10E-05,6.90E-05,31.5584,1.93E+07,496730,0.8,6.54E-05,9.82E-06,1.05E-03,0.000235073,9.34E-05,6.20E+01,4.20E+01,1.62E+02,1.87E+02,1.38E+02,37.83728794,0.000488281
0.0001,8.10E-05,3.10E-05,2.31E-05,31.5871,3.29E+07,1.01E+06,1.6,7.39E-05,1.18E-05,1.78E-03,0.000505641,2.85E-04,2.00E+02,1.62E+02,6.20E+01,5.70E+02,4.62E+01,37.96251705,0.00450684
2.10E-05,0.0001,3.10E-05,1.88E-05,31.5887,2.46E+07,694888,1.6,6.71E-05,1.16E-05,1.33E-03,0.000557768,2.39E-04,4.20E+01,2.00E+02,6.20E+01,4.78E+02,3.76E+01,37.96951065,0.000556641
5.10E-05,3.10E-05,6.10E-05,5.64E-05,31.6123,3.63E+07,1.17E+06,1.6,8.23E-05,1.19E-05,1.96E-03,0.000314086,1.94E-04,1.02E+02,6.20E+01,1.22E+02,3.88E+02,1.13E+02,38.072816,0.000488281
7.10E-05,4.10E-05,1.10E-05,1.60E-05,31.6298,1.99E+07,530140,0.8,8.59E-05,9.71E-06,1.08E-03,0.000326613,1.35E-04,1.42E+02,8.20E+01,2.20E+01,2.70E+02,3.20E+01,38.14960099,0.000478516
4.10E-05,6.10E-05,2.10E-05,2.06E-05,31.6306,3.00E+07,838837,1.6,8.26E-05,1.16E-05,1.62E-03,0.000435005,2.28E-04,8.20E+01,1.22E+02,4.20E+01,4.56E+02,4.12E+01,38.15311486,0.00451172
2.10E-05,1.10E-05,4.10E-05,6.85E-05,31.6379,1.85E+07,476005,0.8,9.33E-05,9.70E-06,1.00E-03,0.000169109,6.51E-05,4.20E+01,2.20E+01,8.20E+01,1.30E+02,1.37E+02,38.18519388,0.000488281
3.10E-05,0.0001,3.10E-05,1.89E-05,31.6529,1.93E+07,519174,0.8,5.63E-05,9.72E-06,1.04E-03,0.000510433,2.04E-04,6.20E+01,2.00E+02,6.20E+01,4.08E+02,3.78E+01,38.25119435,0.000483398
0.0001,5.10E-05,0.0001,5.62E-05,31.6626,3.43E+07,1.21E+06,1.6,6.78E-05,1.21E-05,1.85E-03,0.00040603,2.33E-04,2.00E+02,1.02E+02,2.00E+02,4.66E+02,1.12E+02,38.29393537,0.000488281
4.10E-05,2.10E-05,8.10E-05,6.88E-05,31.6659,1.97E+07,500472,0.8,6.56E-05,9.85E-06,1.06E-03,0.000235468,9.49E-05,8.20E+01,4.20E+01,1.62E+02,1.90E+02,1.38E+02,38.30848702,0.000488281
4.10E-05,7.10E-05,2.10E-05,1.79E-05,31.6694,1.97E+07,525758,0.8,6.48E-05,9.71E-06,1.07E-03,0.000429936,1.76E-04,8.20E+01,1.42E+02,4.20E+01,3.52E+02,3.58E+01,38.32392663,0.000478516
8.10E-05,4.10E-05,1.10E-05,1.60E-05,31.7181,2.01E+07,529845,0.8,8.60E-05,9.72E-06,1.09E-03,0.000326819,1.37E-04,1.62E+02,8.20E+01,2.20E+01,2.74E+02,3.20E+01,38.53940452,0.00352051
5.10E-05,2.10E-05,8.10E-05,6.86E-05,31.7572,1.99E+07,502792,0.8,6.57E-05,9.88E-06,1.08E-03,0.000235769,9.60E-05,1.02E+02,4.20E+01,1.62E+02,1.92E+02,1.37E+02,38.71328279,0.000488281
9.10E-05,4.10E-05,1.10E-05,1.60E-05,31.7956,2.03E+07,529328,0.8,8.61E-05,9.73E-06,1.10E-03,0.000326999,1.38E-04,1.82E+02,8.20E+01,2.20E+01,2.76E+02,3.20E+01,38.88481168,0.000478516
3.10E-05,1.10E-05,4.10E-05,6.82E-05,31.8199,1.91E+07,482321,0.8,9.35E-05,9.75E-06,1.03E-03,0.000169507,6.70E-05,6.20E+01,2.20E+01,8.20E+01,1.34E+02,1.36E+02,38.99374973,0.000488281
1.10E-05,3.10E-05,1.10E-05,2.10E-05,31.8226,2.69E+07,701394,1.6,0.000117585,1.12E-05,1.45E-03,0.00030557,1.47E-04,2.20E+01,6.20E+01,2.20E+01,2.94E+02,4.20E+01,39.00587278,0.00450195
5.10E-05,7.10E-05,2.10E-05,1.79E-05,31.8266,2.01E+07,526919,0.8,6.49E-05,9.74E-06,1.08E-03,0.00043044,1.79E-04,1.02E+02,1.42E+02,4.20E+01,3.58E+02,3.58E+01,39.02383979,0.00247559
6.10E-05,2.10E-05,8.10E-05,6.84E-05,31.8305,2.02E+07,504269,0.8,6.57E-05,9.90E-06,1.09E-03,0.000236012,9.73E-05,1.22E+02,4.20E+01,1.62E+02,1.95E+02,1.37E+02,39.04136559,0.000488281
1.10E-05,9.10E-05,3.10E-05,2.07E-05,31.851,1.86E+07,486630,0.8,5.76E-05,9.60E-06,1.00E-03,0.000483806,1.89E-04,2.20E+01,1.82E+02,6.20E+01,3.78E+02,4.14E+01,39.13361788,0.000483398
0.0001,4.10E-05,1.10E-05,1.60E-05,31.858,2.05E+07,528720,0.8,8.62E-05,9.74E-06,1.11E-03,0.000327143,1.39E-04,2.00E+02,8.20E+01,2.20E+01,2.78E+02,3.20E+01,39.16516856,0.000478516
4.10E-05,0.0001,3.10E-05,1.89E-05,31.8657,1.97E+07,521511,0.8,5.65E-05,9.75E-06,1.07E-03,0.000511245,2.09E-04,8.20E+01,2.00E+02,6.20E+01,4.18E+02,3.78E+01,39.19990369,0.000517578
7.10E-05,2.10E-05,8.10E-05,6.83E-05,31.8921,2.04E+07,505140,0.8,6.58E-05,9.91E-06,1.10E-03,0.000236214,9.82E-05,1.42E+02,4.20E+01,1.62E+02,1.96E+02,1.37E+02,39.31922961,0.000488281
6.10E-05,9.10E-05,3.10E-05,2.06E-05,31.9056,2.94E+07,829218,1.6,7.03E-05,1.17E-05,1.59E-03,0.00053479,2.71E-04,1.22E+02,1.82E+02,6.20E+01,5.42E+02,4.12E+01,39.38038884,0.00253906
4.10E-05,1.10E-05,4.10E-05,6.80E-05,31.9374,1.95E+07,485873,0.8,9.36E-05,9.78E-06,1.05E-03,0.000169783,6.82E-05,8.20E+01,2.20E+01,8.20E+01,1.36E+02,1.36E+02,39.52482903,0.000488281
8.10E-05,2.10E-05,8.10E-05,6.82E-05,31.9453,2.06E+07,505590,0.8,6.58E-05,9.93E-06,1.11E-03,0.000236387,9.90E-05,1.62E+02,4.20E+01,1.62E+02,1.98E+02,1.36E+02,39.56079405,0.000488281
6.10E-05,7.10E-05,2.10E-05,1.79E-05,31.9531,2.04E+07,527387,0.8,6.50E-05,9.76E-06,1.10E-03,0.000430845,1.82E-04,1.22E+02,1.42E+02,4.20E+01,3.64E+02,3.58E+01,39.59633592,0.000473633
7.10E-05,4.10E-05,8.10E-05,5.63E-05,31.9573,3.53E+07,1.15E+06,1.6,7.31E-05,1.20E-05,1.91E-03,0.000362775,2.15E-04,1.42E+02,8.20E+01,1.62E+02,4.30E+02,1.13E+02,39.61548708,0.000488281
9.10E-05,4.10E-05,2.10E-05,3.03E-05,31.9707,4.36E+07,1.33E+06,1.6,0.00010251,1.17E-05,2.36E-03,0.000357834,2.70E-04,1.82E+02,8.20E+01,4.20E+01,5.40E+02,6.06E+01,39.67665032,0.00248535
9.10E-05,2.10E-05,8.10E-05,6.81E-05,31.9922,2.08E+07,505733,0.8,6.59E-05,9.94E-06,1.12E-03,0.000236539,9.96E-05,1.82E+02,4.20E+01,1.62E+02,1.99E+02,1.36E+02,39.77498275,0.000488281
9.10E-05,8.10E-05,3.10E-05,2.31E-05,32.025,3.28E+07,959404,1.6,7.39E-05,1.18E-05,1.77E-03,0.000505437,2.84E-04,1.82E+02,1.62E+02,6.20E+01,5.68E+02,4.62E+01,39.92546657,0.00450684
5.10E-05,1.10E-05,4.10E-05,6.78E-05,32.0254,1.97E+07,488028,0.8,9.37E-05,9.80E-06,1.06E-03,0.000169992,6.89E-05,1.02E+02,2.20E+01,8.20E+01,1.38E+02,1.36E+02,39.92730525,0.000488281
5.10E-05,0.0001,3.10E-05,1.89E-05,32.026,2.01E+07,522666,0.8,5.66E-05,9.78E-06,1.08E-03,0.000511864,2.12E-04,1.02E+02,2.00E+02,6.20E+01,4.24E+02,3.78E+01,39.93006342,0.00347656
0.0001,2.10E-05,8.10E-05,6.81E-05,32.03,2.09E+07,505662,0.8,6.59E-05,9.95E-06,1.13E-03,0.00023666,1.00E-04,2.00E+02,4.20E+01,1.62E+02,2.00E+02,1.36E+02,39.94845613,0.000488281
1.00E-06,8.10E-05,4.10E-05,3.06E-05,32.0341,1.28E+07,334644,0.8,5.76E-05,9.15E-06,6.93E-04,0.000445753,1.26E-04,2.00E+00,1.62E+02,8.20E+01,2.52E+02,6.12E+01,39.96731745,0.00151367
1.00E-06,9.10E-05,4.10E-05,2.72E-05,32.0514,1.49E+07,391593,1.6,6.68E-05,1.11E-05,8.03E-04,0.000521433,1.40E-04,2.00E+00,1.82E+02,8.20E+01,2.80E+02,5.44E+01,40.04700113,0.00450684
