Wi1,Wi2,Wi3,Wi5,DC Gain,ft,f3,Vcm,Pdiss,Is4,Gm6,Gm4,Wi4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Abs_Gain,Delay
1.00E-06,6.10E-05,1.10E-05,1.09E-05,20.986,6.51E+06,581893,1.6,7.76E-05,1.09E-05,3.52E-04,0.000421222,5.09E-05,2.00E+00,1.22E+02,2.20E+01,1.02E+02,2.18E+01,11.20211431,0.000488281
9.10E-05,4.10E-05,1.10E-05,1.60E-05,21.0061,2.51E+07,2.29E+06,1.6,0.000101087,1.15E-05,1.35E-03,0.000354707,1.57E-04,1.82E+02,8.20E+01,2.20E+01,3.14E+02,3.20E+01,11.22806712,0.00149414
8.10E-05,2.10E-05,1.10E-05,3.05E-05,21.0074,3.91E+07,3.72E+06,1.6,0.000155177,1.14E-05,2.11E-03,0.000253633,1.75E-04,1.62E+02,4.20E+01,2.20E+01,3.50E+02,6.10E+01,11.22974773,0.000488281
1.10E-05,1.10E-05,3.10E-05,5.72E-05,21.0318,1.98E+07,1.76E+06,1.6,0.000117933,1.15E-05,1.07E-03,0.000184287,6.38E-05,2.20E+01,2.20E+01,6.20E+01,1.28E+02,1.14E+02,11.26133816,0.000488281
7.10E-05,2.10E-05,4.10E-05,5.61E-05,21.0581,3.33E+07,3.26E+06,1.6,0.000100617,1.18E-05,1.80E-03,0.000257747,1.47E-04,1.42E+02,4.20E+01,8.20E+01,2.94E+02,1.12E+02,11.29548804,0.000488281
6.10E-05,0.0001,1.10E-05,6.69E-06,21.0677,1.19E+07,1.04E+06,1.6,6.61E-05,1.14E-05,6.42E-04,0.000553158,1.16E-04,1.22E+02,2.00E+02,2.20E+01,2.32E+02,1.34E+01,11.30797917,0.00150391
5.10E-05,3.10E-05,0.0001,5.68E-05,21.0941,2.25E+07,1.88E+06,1.6,6.76E-05,1.20E-05,1.21E-03,0.000315537,1.19E-04,1.02E+02,6.20E+01,2.00E+02,2.38E+02,1.14E+02,11.34240107,0.000488281
5.10E-05,2.10E-05,1.00E-06,2.81E-06,21.1008,7.04E+06,615704,0.8,0.000130295,9.49E-06,3.81E-04,0.000231117,3.46E-05,1.02E+02,4.20E+01,2.00E+00,6.92E+01,5.62E+00,11.35115359,0.00255859
3.10E-05,1.10E-05,0.0001,6.93E-05,21.1205,7.07E+06,592421,0.8,6.00E-05,9.84E-06,3.82E-04,0.000170321,2.47E-05,6.20E+01,2.20E+01,2.00E+02,4.94E+01,1.39E+02,11.37692775,0.000488281
6.10E-05,2.10E-05,1.00E-06,2.81E-06,21.2134,7.14E+06,615844,0.8,0.000130464,9.50E-06,3.86E-04,0.00023127,3.50E-05,1.22E+02,4.20E+01,2.00E+00,7.00E+01,5.62E+00,11.49926282,0.000512695
7.10E-05,3.10E-05,8.10E-05,5.65E-05,21.2261,2.70E+07,2.40E+06,1.6,7.32E-05,1.20E-05,1.46E-03,0.000315411,1.44E-04,1.42E+02,6.20E+01,1.62E+02,2.88E+02,1.13E+02,11.51608867,0.000488281
9.10E-05,7.10E-05,1.10E-05,9.35E-06,21.2523,1.63E+07,1.42E+06,1.6,7.63E-05,1.15E-05,8.81E-04,0.000466833,1.34E-04,1.82E+02,1.42E+02,2.20E+01,2.68E+02,1.87E+01,11.55087808,0.00351074
4.10E-05,1.10E-05,0.0001,6.91E-05,21.253,7.24E+06,595918,0.8,6.01E-05,9.87E-06,3.91E-04,0.00017061,2.52E-05,8.20E+01,2.20E+01,2.00E+02,5.04E+01,1.38E+02,11.55180901,0.000488281
7.10E-05,9.10E-05,1.10E-05,7.33E-06,21.2653,1.30E+07,1.12E+06,1.6,6.86E-05,1.14E-05,7.03E-04,0.000528002,1.21E-04,1.42E+02,1.82E+02,2.20E+01,2.42E+02,1.47E+01,11.568179,0.00450195
8.10E-05,3.10E-05,1.10E-05,2.10E-05,21.3076,3.08E+07,2.75E+06,1.6,0.000119616,1.14E-05,1.67E-03,0.000308259,1.68E-04,1.62E+02,6.20E+01,2.20E+01,3.36E+02,4.20E+01,11.62465306,0.00248535
7.10E-05,2.10E-05,1.00E-06,2.81E-06,21.3078,7.21E+06,615475,0.8,0.000130602,9.51E-06,3.90E-04,0.000231395,3.54E-05,1.42E+02,4.20E+01,2.00E+00,7.08E+01,5.62E+00,11.62492073,0.00443359
5.10E-05,0.0001,1.10E-05,6.69E-06,21.3508,1.17E+07,994395,1.6,6.60E-05,1.14E-05,6.35E-04,0.000552748,1.15E-04,1.02E+02,2.00E+02,2.20E+01,2.30E+02,1.34E+01,11.68261326,0.00250488
5.10E-05,1.10E-05,0.0001,6.89E-05,21.3522,7.35E+06,597810,0.8,6.02E-05,9.90E-06,3.97E-04,0.00017083,2.56E-05,1.02E+02,2.20E+01,2.00E+02,5.12E+01,1.38E+02,11.68449642,0.000488281
8.10E-05,8.10E-05,1.10E-05,8.22E-06,21.3758,1.46E+07,1.24E+06,1.6,7.20E-05,1.14E-05,7.89E-04,0.000498404,1.28E-04,1.62E+02,1.62E+02,2.20E+01,2.56E+02,1.64E+01,11.71628696,0.000498047
8.10E-05,2.10E-05,1.00E-06,2.81E-06,21.3891,7.27E+06,614762,0.8,0.00013072,9.52E-06,3.93E-04,0.000231501,3.56E-05,1.62E+02,4.20E+01,2.00E+00,7.12E+01,5.62E+00,11.7342409,0.000493164
6.10E-05,1.10E-05,0.0001,6.88E-05,21.4322,7.43E+06,598761,0.8,6.03E-05,9.92E-06,4.02E-04,0.000171007,2.58E-05,1.22E+02,2.20E+01,2.00E+02,5.16E+01,1.38E+02,11.79261174,0.000488281
1.10E-05,1.10E-05,9.10E-05,7.02E-05,21.4602,6.91E+06,563477,0.8,6.18E-05,9.70E-06,3.74E-04,0.000169078,2.43E-05,2.20E+01,2.20E+01,1.82E+02,4.86E+01,1.40E+02,11.83068797,0.000488281
9.10E-05,2.10E-05,1.00E-06,2.81E-06,21.4605,7.32E+06,613804,0.8,0.000130821,9.53E-06,3.95E-04,0.000231592,3.58E-05,1.82E+02,4.20E+01,2.00E+00,7.16E+01,5.62E+00,11.83109659,0.00350586
1.00E-06,0.0001,2.10E-05,1.28E-05,21.4629,5.60E+06,469709,0.8,5.28E-05,9.11E-06,3.03E-04,0.000494029,6.13E-05,2.00E+00,2.00E+02,4.20E+01,1.23E+02,2.56E+01,11.83436609,0.000488281
9.10E-05,5.10E-05,1.10E-05,1.29E-05,21.4687,2.15E+07,1.83E+06,1.6,8.96E-05,1.15E-05,1.16E-03,0.00039563,1.50E-04,1.82E+02,1.02E+02,2.20E+01,3.00E+02,2.58E+01,11.84227113,0.00050293
9.10E-05,6.10E-05,1.10E-05,1.08E-05,21.4816,1.86E+07,1.57E+06,1.6,8.19E-05,1.15E-05,1.01E-03,0.000432699,1.42E-04,1.82E+02,1.22E+02,2.20E+01,2.84E+02,2.16E+01,11.85987195,0.00350586
7.10E-05,1.10E-05,0.0001,6.87E-05,21.4995,7.49E+06,599102,0.8,6.03E-05,9.94E-06,4.05E-04,0.000171155,2.60E-05,1.42E+02,2.20E+01,2.00E+02,5.20E+01,1.37E+02,11.88433814,0.000488281
0.0001,2.10E-05,1.00E-06,2.81E-06,21.518,7.35E+06,612787,0.8,0.000130902,9.54E-06,3.97E-04,0.000231665,3.60E-05,2.00E+02,4.20E+01,2.00E+00,7.20E+01,5.62E+00,11.90967746,0.00350586
